player_id,Player,School,conference,games_played,tackles,tackles_for_loss,sacks,forced_fumbles,arm_length,hand_size,5year_approx_value
4072,Jonathan Greenard,Florida,Power 5,37,122.0,38.0,19.0,4,34.875,9.25,29.0
4073,Yetur Gross-Matos,Penn State,Power 5,38,111.0,37.0,19.0,2,34.875,9.75,18.0
4094,Alex Highsmith,Charlotte,Group of 5,48,185.0,46.0,20.0,3,33.125,9.125,33.0
4137,Khalid Kareem,Notre Dame,Power 5,42,109.0,26.0,13.0,4,34.375,10.875,2.0
4184,Julian Okwara,Notre Dame,Power 5,45,77.0,23.0,14.5,4,34.375,10.25,5.0
4219,Alton Robinson,Syracuse,Power 5,36,115.0,32.5,19.5,5,32.375,9.25,4.0
4240,Jason Strowbridge,North Carolina,Power 5,44,127.0,22.0,11.5,2,32.375,10.125,1.0
4262,Derrek Tuszka,North Dakota State,FCS,63,119.0,49.5,29.5,6,31.375,9.875,3.0
4287,D.J. Wonnum,South Carolina,Power 5,43,137.0,29.5,14.0,1,34.125,10.5,21.0
4290,Chase Young,Ohio State,Power 5,36,99.0,42.5,30.5,9,33.75,10.0,24.0
4291,Jabari Zuniga,Florida,Power 5,42,118.0,34.5,18.5,1,32.875,10.375,1.0
